Security Id,pdf1,pdf2,pdf3,pdf4
ASIANTNE,,,,
ASIAN,,,,
ASITCFIN,,,,
ASMTEC,,,,
ASPIRA,,,,
ASSAMENT,,,,
ASALCBR,,,,
ASSOCER,,,,
ASTEC,,,,
ASTERDM,,,,
ASTRAMICRO,,,,
ASTRAL,,,,
ASTRAZEN,,,,
ASTRON,,,,
ASUTENT,,,,
ATALREAL,,,,
ATAM,,,,
ATHARVENT,,,,
ATHCON,,,,
ATHENAGLO,,,,
ATISHAY,,,,
ATLANTA,,,,
ATULAUTO,,,,
ATUL,,,,
ATVPR,,,,
AUBANK,,,,
AURIONPRO,,,,
AUROLAB,,,,
AUROPHARMA,,,,
AURUM,,,,
AUSOMENT,,,,
AUSTENG,,,,
AIIL,,,,
AUTOPINS,,,,
AUTOIND,,,,
ACGL,,,,
AUTOAXLES,,,,
ASAL,,,,
AUTOINT,,,,
AVADHSUGAR,,,,
AVAILFC,,,,
AVALON,,,,
AVANCE,,,,
AVANTEL,,,,
AVANTI,,,,
AVASARA,,,,
AVEER,,,,
DMART,,,,
AVG,,,,
AVI,,,,
APIL,,,,
AVIVA,,,,
AVONMORE,,,,
AVROIND,,,,
AVTNPL,,,,
AXELPOLY,,,,
AXISBANK,,,,
AXISHETF,,,,
AXISCETF,,,,
AXISTECETF,,,,
AXISPEGP,,,,
AXISCADES,,,,
AXITA,,,,
AXTEL,,,,
AYMSYNTEX,,,,
AYOME,,,,
BNALTD,,,,
BRRL,,,,
BPCAP,,,,
BAGFILMS,,,,
BCP,,,,
BLKASHYAP,,,,
BNRSEC,,,,
BAPACK,,,,
BBTCL,,,,
B2BSOFT,,,,
BABA,,,,
BACPHAR,,,,
BAFNAPHARM,,,,
BAIDFIN,,,,
BAJAJ-AUTO,,,,
BAJAJCON,,,,
BAJAJELEC,,,,
BAJFINANCE,"['https://www.bseindia.com/xml-data/corpfiling/AttachHis/01bb9206-59b1-494c-845a-c48f419a6267.pdf', 2024, 2]",,"['https://www.bseindia.com/xml-data/corpfiling/AttachHis/5d92a755-d1bb-423f-8309-3fdb32a9fa8a.pdf', 2023, 4]","['https://www.bseindia.com/xml-data/corpfiling/AttachHis/6e7ddefe-9c08-4cd0-a639-173cf2f6bc0b.pdf', 2023, 3]"
BAJAJFINSV,,,,
BAJGLOB,,,,
BAJAJHCARE,,,,
BAJAJHIND,,,,
BAJAJHLDNG,,,,
BAJAJST,,,,
BALPHARMA,,,,
BALAMINES,,,,
BALAJITELE,,,,
BALGOPAL,,,,
BALKRISIND,,,,
BALKRISHNA,,,,
BALMLAWRIE,,,,
BLIL,,,,
BALRAMCHIN,,,,
BALUFORGE,,,,
BALTE,,,,
BAMBINO,,,,
BAMPSL,,,,
BANARBEADS,,,,
BANASFN,,,,
BANCOINDIA,,,,
BANDARAM,,,,
BANDHANBNK,,,,
BANG,,,,
BFFL,,,,
BANKBARODA,,,,
BANKINDIA,,,,
MAHABANK,,,,
BASML,,,,
BANARISUG,,,,
BRPL,,,,
BANSTEA,,,,
BANSWRAS,,,,
BVCL,,,,
BARBEQUE,,,,
BAROEXT,,,,
BARODARY,,,,
BARONINF,,,,
ASMS,,,,
